sku,nombre,regular_con_IVA,tecnico_con_IVA,cananea_con_IVA,mayoreo_menos_con_IVA,mayoreo_mas_con_IVA,regular_sin_IVA,tecnico_sin_IVA,cananea_sin_IVA,mayoreo_menos_sin_IVA,mayoreo_mas_sin_IVA,nombre_normalizado
2070,BUJE 50/50 DE BOLITA SANYO,35,25,11.03,20,15,30.17,21.55,9.51,17.24,12.93,BUJE 50/50 DE BOLITA SANYO
2069,BUJE ANTIGUA ROK MEDIDA PHILIP,40,30,15.8,25,20,34.48,25.86,13.62,21.55,17.24,BUJE ANTIGUA ROK MEDIDA PHILIP
2075,BUJE BOLITA HIERRO 10MM DIAM. INT.,35,25,8.5,20,15,30.17,21.55,7.33,17.24,12.93,BUJE BOLITA HIERRO 10MM DIAM. INT.
2077,BUJE DE BRONCE DIAM 8MM MITEK,40,30,13.13,25,20,34.48,25.86,11.32,21.55,17.24,BUJE DE BRONCE DIAM 8MM MITEK
2067,BUJE MOTOR VENTILADOR PEDESTAL BRONCE,55,45,25.3,40,35,47.41,38.79,21.81,34.48,30.17,BUJE MOTOR VENTILADOR PEDESTAL BRONCE
2066,BUJE PARA VENT. DE PISO MODERNO HIERRO,35,25,8.4,20,15,30.17,21.55,7.24,17.24,12.93,BUJE PARA VENT. DE PISO MODERNO HIERRO
2078,BUJE RA2,50,40,20.48,35,30,43.1,34.48,17.66,30.17,25.86,BUJE RA2
2271,CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES,60,,,,,51.72,,,,,CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES
1771,CAPACITOR PARA VENT 2+6UF 250V,60,40,,35,30,51.72,34.48,,30.17,25.86,CAPACITOR PARA VENT 2+6UF 250V
1770,CAPACITOR PARA VENT. 2+5UF 250V,60,40,,35,30,51.72,34.48,,30.17,25.86,CAPACITOR PARA VENT. 2+5UF 250V
1772,CAPACITOR PARA VENT. 5+5UF 250V,65,50,,45,35,56.03,43.1,,38.79,30.17,CAPACITOR PARA VENT. 5+5UF 250V
504,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V,65,50,27.17,45,40,56.03,43.1,23.42,38.79,34.48,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V
1927,INTERRUPTOR DE PLAFON 3 VEL.,75,60,37.29,50,50,64.66,51.72,32.15,43.1,43.1,INTERRUPTOR DE PLAFON 3 VEL.
1930,INTERRUPTOR DE PLAFON S/C,70,65,45,60,50,60.34,56.03,38.79,51.72,43.1,INTERRUPTOR DE PLAFON S/C
1926,INTERUPTOR DE PLAFON PARA LUZ,60,40,25.21,40,35,51.72,34.48,21.73,34.48,30.17,INTERUPTOR DE PLAFON PARA LUZ
608,----,45,0,,0,0,38.79,0,,0,0,----
7501042300439,***,29,0,,0,0,25,0,,0,0,***
6021,****,0,0,,0,0,0,0,,0,0,****
1659,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO,90,75.01,,0,0,77.59,64.66,,0,0,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO
46925,ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG,23.2,5.5,,,,20,4.74,,,,ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG
1744,ABRAZADERA TUBO 1-1/4,5.5,,,,,4.74,,,,,ABRAZADERA TUBO 1-1/4
7501206689868,ACEITE MULTIUSOS 30 ML,30,25,14.8,25,20,25.86,21.55,12.76,21.55,17.24,ACEITE MULTIUSOS 30 ML
7501206689875,ACEITE MULTIUSOS 90 ML,40,35,23.12,35,30,34.48,30.17,19.93,30.17,25.86,ACEITE MULTIUSOS 90 ML
7503003799627,ACIDO COIL CLENNER GAL. MOR,260,220,132.89,205,190,224.14,189.66,114.56,176.72,163.79,ACIDO COIL CLENNER GAL. MOR
2000,ACIDO COIL CLENNER MOR.BIDON 20LT,970,900,581.23,840,840,836.21,775.86,501.06,724.14,724.14,ACIDO COIL CLENNER MOR.BIDON 20LT
630,ACIDO MURIATICO AMARILLO LTR,25,25,0,25,0,21.55,21.55,0,21.55,0,ACIDO MURIATICO AMARILLO LTR
7501206657478,ADAPTADOR NARANJA DE 2 A 3 SIN TIERRA,40,30,,0,0,34.48,25.86,,0,0,ADAPTADOR NARANJA DE 2 A 3 SIN TIERRA
7501199420035,AFLOJATODO LOCTITE 300G,150,0,,0,0,129.31,0,,0,0,AFLOJATODO LOCTITE 300G
7506240601913,ALAMBRE GALVANIZADO CAL. 18,80.04,,,,,69,,,,,ALAMBRE GALVANIZADO CAL. 18
716352497275,ANTOCHA TURBO TORCH TX504,2000,0,,0,0,1724.14,0,,0,0,ANTOCHA TURBO TORCH TX504
037103574886,ASPERSORA MANUAL 1.5L GB,180,150,96.23,145,135,155.17,129.31,82.96,125,116.38,ASPERSORA MANUAL 1.5L GB
037103575500,"ASPERSORA MANUAL DE 5L ""GB""",350,320,221.68,320,290,301.72,275.86,191.1,275.86,250,"ASPERSORA MANUAL DE 5L ""GB"""
FC108,ATOMIZADOR DE GATILLO 1LT,60,50,30.7,50,50,51.72,43.1,26.47,43.1,43.1,ATOMIZADOR DE GATILLO 1LT
2250,ATOMIZADOR SOLO 1LT,50,45,33.63,45,45,43.1,38.79,28.99,38.79,38.79,ATOMIZADOR SOLO 1LT
7506240651994,ATOMIZADOR TRUPER 1L,60,50,,0,0,51.72,43.1,,0,0,ATOMIZADOR TRUPER 1L
7503026177396,BALERO 608 WMP,25,20,,15,12.6,21.55,17.24,,12.93,10.86,BALERO 608 WMP
B62002RS,BALERO 6200 2RS NTN sv1465-,65,50,30.01,45,40,56.03,43.1,25.87,38.79,34.48,BALERO 6200 2RS NTN SV1465-
739210356897,BALERO 6201 PARA MOTOR DE LAV WH PFI,40,35,20.86,35,30,34.48,30.17,17.98,30.17,25.86,BALERO 6201 PARA MOTOR DE LAV WH PFI
1247,BALERO 6201 WMP,45,40,,30,20.54,38.79,34.48,,25.86,17.71,BALERO 6201 WMP
1201,BALERO 6305 LAVADORA FRONTAL LG,130,120,32.29,110,48.74,112.07,103.45,27.84,94.83,42.02,BALERO 6305 LAVADORA FRONTAL LG
954,BALERO 6306 NTN LAVADORA FRONTAL,220,190,119.17,180,165,189.66,163.79,102.73,155.17,142.24,BALERO 6306 NTN LAVADORA FRONTAL
955,BALERO 6306 WMP LAVADORA FRONTAL,190,150,49.94,120,90,163.79,129.31,43.05,103.45,77.59,BALERO 6306 WMP LAVADORA FRONTAL
809,BALERO ASER 6203 LAVADORA FRONTAL LG,30,22.01,,0,0,25.86,18.97,,0,0,BALERO ASER 6203 LAVADORA FRONTAL LG
B6082RS,BALERO NTN 608 sv1465-,60,50,25.9,50,50,51.72,43.1,22.33,43.1,43.1,BALERO NTN 608 SV1465-
6202,BALERO NTN 6202,65,55,,0,0,56.03,47.41,,0,0,BALERO NTN 6202
6203,BALERO NTN 6203,45,45,,0,0,38.79,38.79,,0,0,BALERO NTN 6203
739210356569,BALERO PFI 6006 SIRVE P/LAV,55,52.2,,0,0,47.41,45,,0,0,BALERO PFI 6006 SIRVE P/LAV
739210356729,BALERO PFI 608,30,23,,0,0,25.86,19.83,,0,0,BALERO PFI 608
C3,"BALERO PFI 6203 1/2"" 6203-2RS 1/2""",40,30,,0,0,34.48,25.86,,0,0,"BALERO PFI 6203 1/2"" 6203-2RS 1/2"""
7316570468236,BALERO SKF 608,50,0,,0,0,43.1,0,,0,0,BALERO SKF 608
2158,BANDA ASPIRADORA 562932001,400,,,,,344.83,,,,,BANDA ASPIRADORA 562932001
7506610205628,BASCULA DIGITAL COLGANTE 50KG PRETUL,155,145,93.45,130,130,133.62,125,80.56,112.07,112.07,BASCULA DIGITAL COLGANTE 50KG PRETUL
7506240665403,BASCULA ELECTRONICA PRETUL 40KG,1250,1100,,0,0,1077.59,948.28,,0,0,BASCULA ELECTRONICA PRETUL 40KG
2220,BIDON DESENGRASANTE BLANCO 20 LT,1100,980,695.5,980,940,948.28,844.83,599.57,844.83,810.34,BIDON DESENGRASANTE BLANCO 20 LT
2221,BOMBA DE AGUA GARRAFON ELECTRICA RECARGABLE,200,155,84.68,140,140,172.41,133.62,73,120.69,120.69,BOMBA DE AGUA GARRAFON ELECTRICA RECARGABLE
7503026192573,BOMBA DISPENSADORA DE AGUA COLDTEK PARA REFRIGERADOR,2800,2600,1651.61,2400,2200,2413.79,2241.38,1423.8,2068.97,1896.55,BOMBA DISPENSADORA DE AGUA COLDTEK PARA REFRIGERADOR
7506240667964,BOMBA PRESURIZADORA 1/6HP 1A TRUPER,1230,1090,761.31,1020,940,1060.34,939.66,656.3,879.31,810.34,BOMBA PRESURIZADORA 1/6HP 1A TRUPER
037103570949,BOQUILLA DE AUTOENCENDIDO CON PERILLA DE BRONCE TURNER,750,630,359.42,550,410.41,646.55,543.1,309.84,474.14,353.8,BOQUILLA DE AUTOENCENDIDO CON PERILLA DE BRONCE TURNER
037103576026,"BOQUILLA DE DOBLE TUBO CON AUTOENCENDIDO DE ALTO RENDIMIENTO ""GB""",1100,1100,950,950,950,948.28,948.28,818.97,818.97,818.97,"BOQUILLA DE DOBLE TUBO CON AUTOENCENDIDO DE ALTO RENDIMIENTO ""GB"""
716352459761,BOQUILLA DE DOBLE TUBO DE ALTO RENDIMIENTO TURNER,980,645,438.49,601.7,560,844.83,556.03,378.01,518.71,482.76,BOQUILLA DE DOBLE TUBO DE ALTO RENDIMIENTO TURNER
037103572325,BOQUILLA DE TRIPLE TUBO DE ALTO RENDIMIENTO TURNER,1100,995,645,935,890,948.28,857.76,556.03,806.03,767.24,BOQUILLA DE TRIPLE TUBO DE ALTO RENDIMIENTO TURNER
405,BOQUILLA ENCENDIDO ELEC. P/GAS,650,600,,0,0,560.34,517.24,,0,0,BOQUILLA ENCENDIDO ELEC. P/GAS
070042401004,BOQUILLA LATON P/GAS,400,340,,0,0,344.83,293.1,,0,0,BOQUILLA LATON P/GAS
7503050733360,BOQUILLA P/SOLDAR DOBLE COLDTEK,1000,890,534.71,830,770,862.07,767.24,460.96,715.52,663.79,BOQUILLA P/SOLDAR DOBLE COLDTEK
7503050733346,BOQUILLA P/SOLDAR SENCILLA  COLDTEK,630,560,336.17,520,480,543.1,482.76,289.8,448.28,413.79,BOQUILLA P/SOLDAR SENCILLA COLDTEK
7503050733353,BOQUILLA P/SOLDAR SENCILLA CON AUTOENCENDIDO COLDTEK,680,590,352,545,500,586.21,508.62,303.45,469.83,431.03,BOQUILLA P/SOLDAR SENCILLA CON AUTOENCENDIDO COLDTEK
7501206613894,"BROCA C/SIST INSER 7/16X6""",90,75,47.25,75,70,77.59,64.66,40.73,64.66,60.34,"BROCA C/SIST INSER 7/16X6"""
7501206614037,BROCA CON SISTEMA DIRECTO DE INSRSION SDS 1/4X6,48,40.99,,0,0,41.38,35.34,,0,0,BROCA CON SISTEMA DIRECTO DE INSRSION SDS 1/4X6
7501206634479,BROCA CONCRETO TRUPER,17.4,0,,0,0,15,0,,0,0,BROCA CONCRETO TRUPER
1606,"BROCA DE ALTA VELOCIDAD 1/2""",210,0,,0,0,181.03,0,,0,0,"BROCA DE ALTA VELOCIDAD 1/2"""
1607,"BROCA DE ALTA VELOCIDAD 1/4""",45,0,,0,0,38.79,0,,0,0,"BROCA DE ALTA VELOCIDAD 1/4"""
1608,"BROCA DE ALTA VELOCIDAD 1/8""",15,0,,0,0,12.93,0,,0,0,"BROCA DE ALTA VELOCIDAD 1/8"""
1609,"BROCA DE ALTA VELOCIDAD 11/64""",25,0,,0,0,21.55,0,,0,0,"BROCA DE ALTA VELOCIDAD 11/64"""
1610,"BROCA DE ALTA VELOCIDAD 3/16""",25,0,,0,0,21.55,0,,0,0,"BROCA DE ALTA VELOCIDAD 3/16"""
1611,"BROCA DE ALTA VELOCIDAD 3/32""",15,0,,0,0,12.93,0,,0,0,"BROCA DE ALTA VELOCIDAD 3/32"""
1612,BROCA DE ALTA VELOCIDAD 3/8,104,0,,0,0,89.66,0,,0,0,BROCA DE ALTA VELOCIDAD 3/8
1613,"BROCA DE ALTA VELOCIDAD 5/16""",65.37,0,,0,0,56.35,0,,0,0,"BROCA DE ALTA VELOCIDAD 5/16"""
1619,"BROCA DE ALTA VELOCIDAD 5/32""",20,0,,0,0,17.24,0,,0,0,"BROCA DE ALTA VELOCIDAD 5/32"""
1614,"BROCA DE ALTA VELOCIDAD 5/64""",15,0,,0,0,12.93,0,,0,0,"BROCA DE ALTA VELOCIDAD 5/64"""
1615,BROCA DE ALTA VELOCIDAD 7/16,165,0,,0,0,142.24,0,,0,0,BROCA DE ALTA VELOCIDAD 7/16
1616,"BROCA DE ALTA VELOCIDAD 7/32""",35,0,,0,0,30.17,0,,0,0,"BROCA DE ALTA VELOCIDAD 7/32"""
1617,"BROCA DE ALTA VELOCIDAD 7/64""",15,0,,0,0,12.93,0,,0,0,"BROCA DE ALTA VELOCIDAD 7/64"""
1618,"BROCA DE ALTA VELOCIDAD 9/64""",18,0,,0,0,15.52,0,,0,0,"BROCA DE ALTA VELOCIDAD 9/64"""
7501206634486,BROCA PARA CONCRETO 1/4X6,25,20,,0,0,21.55,17.24,,0,0,BROCA PARA CONCRETO 1/4X6
1425,BROCA PARA CONCRETO 3/8X12,65,52.49,,0,0,56.03,45.25,,0,0,BROCA PARA CONCRETO 3/8X12
7506240682066,BROCA SDS 3/8X24 TRUPER,170,123,,,,146.55,106.03,,,,BROCA SDS 3/8X24 TRUPER
7501206613924,"BROCA SDS 3X12"" TRUPER",110,90,57.75,90,85,94.83,77.59,49.78,77.59,73.28,"BROCA SDS 3X12"" TRUPER"
