SKU,Nombre,Existencia,Categoria,Archivo_origen,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
037103575883,HIDROLAVADORA A PRESION 1400W 1160 PSI 120V GB,1,ABANICOS,ABANICOS.xlsx,0.86,0.86,0.86,0.86,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1926,INTERUPTOR DE PLAFON PARA LUZ,16,ABANICOS,ABANICOS.xlsx,51.72,51.72,34.48,21.73,34.48,30.17,"{""regular"":51.72,""tecnico"":34.48,""cananea"":21.73,""mayoreo_menos"":34.48,""mayoreo_mas"":30.17}"
1927,INTERRUPTOR DE PLAFON 3 VEL.,14,ABANICOS,ABANICOS.xlsx,64.66,64.66,51.72,25.34,43.1,34.48,"{""regular"":64.66,""tecnico"":51.72,""cananea"":25.34,""mayoreo_menos"":43.1,""mayoreo_mas"":34.48}"
1930,INTERRUPTOR DE PLAFON S/C,6,ABANICOS,ABANICOS.xlsx,60.34,60.34,56.03,33.5,43.1,38.79,"{""regular"":60.34,""tecnico"":56.03,""cananea"":33.5,""mayoreo_menos"":43.1,""mayoreo_mas"":38.79}"
2066,BUJE PARA VENT. DE PISO MODERNO HIERRO,42,ABANICOS,ABANICOS.xlsx,30.17,30.17,21.55,7.24,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":7.24,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2067,BUJE MOTOR VENTILADOR PEDESTAL BRONCE,46,ABANICOS,ABANICOS.xlsx,47.41,47.41,38.79,21.81,34.48,30.17,"{""regular"":47.41,""tecnico"":38.79,""cananea"":21.81,""mayoreo_menos"":34.48,""mayoreo_mas"":30.17}"
2069,BUJE ANTIGUA ROK MEDIDA PHILIP,49,ABANICOS,ABANICOS.xlsx,34.48,34.48,25.86,13.62,21.55,17.24,"{""regular"":34.48,""tecnico"":25.86,""cananea"":13.62,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2070,BUJE 50/50 DE BOLITA SANYO,50,ABANICOS,ABANICOS.xlsx,30.17,30.17,21.55,9.51,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":9.51,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2075,BUJE BOLITA HIERRO 10MM DIAM. INT.,41,ABANICOS,ABANICOS.xlsx,30.17,30.17,21.55,7.33,17.24,12.93,"{""regular"":30.17,""tecnico"":21.55,""cananea"":7.33,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
2077,BUJE DE BRONCE DIAM 8MM MITEK,44,ABANICOS,ABANICOS.xlsx,34.48,34.48,25.86,11.32,21.55,17.24,"{""regular"":34.48,""tecnico"":25.86,""cananea"":11.32,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
2078,BUJE RA2,50,ABANICOS,ABANICOS.xlsx,43.1,43.1,34.48,17.66,30.17,25.86,"{""regular"":43.1,""tecnico"":34.48,""cananea"":17.66,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
2271,CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES,100,ABANICOS,ABANICOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
504,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V,17,ABANICOS,ABANICOS.xlsx,56.03,56.03,43.1,23.42,38.79,34.48,"{""regular"":56.03,""tecnico"":43.1,""cananea"":23.42,""mayoreo_menos"":38.79,""mayoreo_mas"":34.48}"
