SKU,Nombre,Archivo_xlsx
"2271","CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES","ABANICOS.xlsx"
"1659","10 CABLES CABLS CAIMAN 30CM JUMPER MACHO","ACCESORIOS.xlsx"
"46925","ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG","ACCESORIOS.xlsx"
"1744","ABRAZADERA TUBO 1-1/4","ACCESORIOS.xlsx"
"7501206657478","ADAPTADOR NARANJA DE 2 A 3 SIN TIERRA","ACCESORIOS.xlsx"
"7501199420035","AFLOJATODO LOCTITE 300G","ACCESORIOS.xlsx"
"7506240601913","ALAMBRE GALVANIZADO CAL. 18","ACCESORIOS.xlsx"
"716352497275","ANTOCHA TURBO TORCH TX504","ACCESORIOS.xlsx"
"FC108","ATOMIZADOR DE GATILLO 1LT","ACCESORIOS.xlsx"
"7506240651994","ATOMIZADOR TRUPER 1L","ACCESORIOS.xlsx"
"SV1465-B62002RS","BALERO 6200 2RS NTN","ACCESORIOS.xlsx"
"1247","BALERO 6201 WMP","ACCESORIOS.xlsx"
"SV1465-B6082RS","BALERO NTN 608","ACCESORIOS.xlsx"
"6202","BALERO NTN 6202","ACCESORIOS.xlsx"
"6203","BALERO NTN 6203","ACCESORIOS.xlsx"
"739210356569","BALERO PFI 6006 SIRVE P/LAV","ACCESORIOS.xlsx"
"6203'2RS 1-2[ C3","BALERO PFI 6203 1/2""","ACCESORIOS.xlsx"
"7316570468236","BALERO SKF 608","ACCESORIOS.xlsx"
"2158","BANDA ASPIRADORA 562932001","ACCESORIOS.xlsx"
"7506610205628","BASCULA DIGITAL COLGANTE 50KG PRETUL","ACCESORIOS.xlsx"
"7506240665403","BASCULA ELECTRONICA PRETUL 40KG","ACCESORIOS.xlsx"
"405","BOQUILLA ENCENDIDO ELEC. P/GAS","ACCESORIOS.xlsx"
"070042401004","BOQUILLA LATON P/GAS","ACCESORIOS.xlsx"
"7501206614037","BROCA CON SISTEMA DIRECTO DE INSRSION SDS 1/4X6","ACCESORIOS.xlsx"
"7501206634479","BROCA CONCRETO TRUPER","ACCESORIOS.xlsx"
"1606","BROCA DE ALTA VELOCIDAD 1/2""","ACCESORIOS.xlsx"
"1608","BROCA DE ALTA VELOCIDAD 1/8""","ACCESORIOS.xlsx"
"1609","BROCA DE ALTA VELOCIDAD 11/64""","ACCESORIOS.xlsx"
"1610","BROCA DE ALTA VELOCIDAD 3/16""","ACCESORIOS.xlsx"
"1611","BROCA DE ALTA VELOCIDAD 3/32""","ACCESORIOS.xlsx"
"1612","BROCA DE ALTA VELOCIDAD 3/8","ACCESORIOS.xlsx"
"1613","BROCA DE ALTA VELOCIDAD 5/16""","ACCESORIOS.xlsx"
"1619","BROCA DE ALTA VELOCIDAD 5/32""","ACCESORIOS.xlsx"
"1614","BROCA DE ALTA VELOCIDAD 5/64""","ACCESORIOS.xlsx"
"1615","BROCA DE ALTA VELOCIDAD 7/16","ACCESORIOS.xlsx"
"1616","BROCA DE ALTA VELOCIDAD 7/32""","ACCESORIOS.xlsx"
"1617","BROCA DE ALTA VELOCIDAD 7/64""","ACCESORIOS.xlsx"
"1618","BROCA DE ALTA VELOCIDAD 9/64""","ACCESORIOS.xlsx"
"1607","BROCA DE ALTA VELODAD 1/4""","ACCESORIOS.xlsx"
"7501206634486","BROCA PARA CONCRETO 1/4X6","ACCESORIOS.xlsx"
"1425","BROCA PARA CONCRETO 3/8X12","ACCESORIOS.xlsx"
"7506240682066","BROCA SDS 3/8X24 TRUPER","ACCESORIOS.xlsx"
"7501206675267","BROCA-SIERRA BIMETALICA 2""","ACCESORIOS.xlsx"
"1","CABLES PARA SOLDAR 10 MTS.","ACCESORIOS.xlsx"
"7506240646730","CAJA APILABLE MEDIANA TRUPER","ACCESORIOS.xlsx"
"7501206656181","CAJA DE HERRAMIENTA AMPLIA 22""","ACCESORIOS.xlsx"
"7501206622834","CAJA DE HERRAMIENTA REFORZADA 17""","ACCESORIOS.xlsx"
"1333","CAJA DE HERRAMIENTAS HUSKY","ACCESORIOS.xlsx"
"7501206661871","CAJA P/HERRAMIENTA 16"" TRUPER","ACCESORIOS.xlsx"
"7501206696545","CAPUCHON P/CABLE 10-12 A","ACCESORIOS.xlsx"
"7501206696552","CAPUCHONES P/CABLE 12-14 N","ACCESORIOS.xlsx"
"7501206696569","CAPUCHONES P/CABLE SURTIDO","ACCESORIOS.xlsx"
"7501206662373","CENTRO DE CARGA 2P VOLTECK","ACCESORIOS.xlsx"
"309","CENTRO DE CARGA RILEZ 2P","ACCESORIOS.xlsx"
"7500012011955","CEPILLO DE ALAMBRE T. COPA 3""","ACCESORIOS.xlsx"
"7506240683513","CEPILLO FLEXIBLE PLASTICO","ACCESORIOS.xlsx"
"7506240636427","CEPILLO TIPO ESCOBETA","ACCESORIOS.xlsx"
"7501206684696","CINCEL SDS PLANO GRUESP TRUPER","ACCESORIOS.xlsx"
"876416155289","CINCHO DE PLASTICO 19CM","ACCESORIOS.xlsx"
"7501206683477","CINCHO DE PLASTICO 20 CM","ACCESORIOS.xlsx"
"7501206683491","CINCHO DE PLASTICO 30CM","ACCESORIOS.xlsx"
"876416155296","CINCHO DE PLASTICO 35CM","ACCESORIOS.xlsx"
"7501206683996","CINCHO DE PLASTICO 50 CM","ACCESORIOS.xlsx"
"833650307","CINTA AISLANTE E-8000","ACCESORIOS.xlsx"
"7501206626610","CINTA AISLANTE ELECTRICA 9M","ACCESORIOS.xlsx"
"78204320088","CINTA DE ALUMINIO 3""","ACCESORIOS.xlsx"
"655616000045","CINTA DE ALUMINIO FASSON","ACCESORIOS.xlsx"
"078204320088","CINTA DE ALUMINIO IDELTAPE 488 3""","ACCESORIOS.xlsx"
"1653","CINTA ESPUMA COLDTECK METRO","ACCESORIOS.xlsx"
"7503026204740","CINTA ESPUMA COLDTEK 9.14M","ACCESORIOS.xlsx"
"7501206695364","CINTA TEFLON SELLA ROSCAS 1/2","ACCESORIOS.xlsx"
"7501206641729","CINTA TRANSPARENTE 150M/.050MM","ACCESORIOS.xlsx"
"54007150251","CINTA VULCANIZABLE 3M SUPER 23","ACCESORIOS.xlsx"
"7501206658680","CLAVIJA REF. CON TIERRA 110V","ACCESORIOS.xlsx"
"7501206658512","CLAVIJA TIPO CHINO 220V","ACCESORIOS.xlsx"
"307","CODO PVC 1/2","ACCESORIOS.xlsx"
"2130","CONECTOR RAPIDO 5/16 - 5/16","ACCESORIOS.xlsx"
"7501206652602","CONECTOR RAPIDO GRIFO-MANGUERA","ACCESORIOS.xlsx"
"826","CONECTOR RAPIDO HEMBRA","ACCESORIOS.xlsx"
"2129","CONECTOR REDUCCION 1/4 - 5/16 RECTO","ACCESORIOS.xlsx"
"7501206658673","CONTACTO REF. SIN TIERRA","ACCESORIOS.xlsx"
"866","CUBRE BOCAS AZUL","ACCESORIOS.xlsx"
"7501206641194","CUTTER 6 PRETUL","ACCESORIOS.xlsx"
"7506240673002","DADO MAGNETICO HEXAGONAL TRUPER 3/8","ACCESORIOS.xlsx"
"7.5062406806E+12","DESARMADOR CRUZ 1/4 X 12"" PRETUL","ACCESORIOS.xlsx"
"7501206664261","DESARMADOR ESTRELLA PUNTA PHILIPS 3/16X6 PRETUL","ACCESORIOS.xlsx"
"7501206664117","DESARMADOR PALETA PUNTA PHILIPS 3/16X6 PRETUL","ACCESORIOS.xlsx"
"7501206664070","DESARMADOR PUNTA PHILLIPS #2","ACCESORIOS.xlsx"
"810022392386","DESATORNILLADOR DE IMPACTO HART 20V","ACCESORIOS.xlsx"
"1414","DESENGRASANTE 1 LT","ACCESORIOS.xlsx"
"7502224730785","DISCO DE CORTE 4.5"" PARA METAL MARAGA","ACCESORIOS.xlsx"
"7506240623885","DISCO PARA CORTAR METAL 14"" PRETUL","ACCESORIOS.xlsx"
"BS45","DISCO SEGMENTADO 4.5"" BRONCE","ACCESORIOS.xlsx"
"885911576963","DOBLADOR DE LAMINA LENOX","ACCESORIOS.xlsx"
"2242","DOBLADOR DE TUBOS 180° 3/16-3/8 GB","ACCESORIOS.xlsx"
