SKU,Nombre
2271,CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES
1744,ABRAZADERA TUBO 1-1/4
FC108,ATOMIZADOR DE GATILLO 1LT
SV1465-B62002RS,BALERO 6200 2RS NTN
SV1465-B6082RS,BALERO NTN 608
6203'2RS 1-2[ C3,BALERO PFI 6203 1/2
7501206675267,BROCA-SIERRA BIMETALICA 2
7501206696545,CAPUCHON P/CABLE 10-12 A
7501206696552,CAPUCHONES P/CABLE 12-14 N
833650307,CINTA AISLANTE E-8000
2130,CONECTOR RAPIDO 5/16 - 5/16
7501206652602,CONECTOR RAPIDO GRIFO-MANGUERA
2129,CONECTOR REDUCCION 1/4 - 5/16 RECTO
7.5062406806E+12,DESARMADOR CRUZ 1/4 X 12 PRETUL
BS45,DISCO SEGMENTADO 4.5 BRONCE
2242,DOBLADOR DE TUBOS 180° 3/16-3/8 GB
2184,"FUSIBLE 1A, 220V"
7501390533015,GRASA PREMIUM MULTIPROPOSITO DUXCA-4 ROSHFRANS
SLIT35032,HIDROLAVADORA A PRESION PORTATIL
2135,KIT FILTROS OSMOSIS PURIKOR 6 ETAPAS 1 AÑO
7501206654736,MALETA 18 PORTAHERRAMIENTA TRUPER
XAMR16241,MULTIMETRO DIGITAL PROFESIONAL NT DT9205A AC-DC
7501310011067,PEGAMENTO EPOXICO X-TREME TOP
7503053083295,PROTECTOR CORTA VOLTAJE 3MIN. 220V COLDTEK
1499,SOLDADURA DE ESTAÑO 1 M ELECTRONICA
7506240650607,SOLDADURA ESTAÑO TRUPER BAJA PRESION
037103576040,TERMOMETRO DIGITAL HIGROMETRO-ALARMA GB
2437,TORNILLO PUNTA DE BROCA 1-1/2 SUELTO
2436,TORNILLO PUNTA DE BROCA 1-1/4 SUELTO
2302,VALVULA ESFERA ROSCABLE AZUL DE 1/2
79567520115,WD-40 382 ML
1860,BISAGRA PARA CUARTO FRIO CON MECANISMO AJUSTABLE A PAÑO 250MMX138MM MOD YL-1460
