sku,nombre,regular,tecnico,cananea,mayoreo_menos,mayoreo_mas,notas
2070,BUJE 50/50 DE BOLITA SANYO,35.00,25.00,11.03,15.00,11.03,
2069,BUJE ANTIGUA ROK MEDIDA PHILIP,40.00,30.00,15.80,20.00,15.80,
2075,BUJE BOLITA HIERRO 10MM DIAM. INT.,35.00,25.00,8.50,15.00,8.50,
2077,BUJE DE BRONCE DIAM 8MM MITEK,40.00,30.00,13.13,20.00,13.13,
2067,BUJE MOTOR VENTILADOR PEDESTAL BRONCE,55.00,45.00,25.30,35.00,25.30,
2066,BUJE PARA VENT. DE PISO MODERNO HIERRO,35.00,25.00,8.40,15.00,8.40,
2078,BUJE RA2,50.00,40.00,20.48,30.00,20.48,
504,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V,65.00,50.00,27.17,40.00,27.17,
037103575883,HIDROLAVADORA A PRESION 1400W 1160 PSI 120V GB,2000.00,1800.00,1437.25,1680.00,1437.25,
1927,INTERRUPTOR DE PLAFON 3 VEL.,50.00,37.29,37.29,50.00,37.29,
1930,INTERRUPTOR DE PLAFON S/C,70.00,65.00,38.86,45.00,38.86,
1926,INTERUPTOR DE PLAFON PARA LUZ,60.00,40.00,25.21,35.00,25.21,
608,‑‑‑‑,45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
7501042300439,***,29.00,0.00,,29.00,0.00,sin_decimal_para_cananea
6021,****,0.00,,,,0.00,un_solo_precio_distinto;sin_decimal_para_cananea
1659,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO,90.00,75.01,75.01,75.01,0.00,
46925,ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG,23.20,5.50,,23.20,5.50,varios_con_decimales
1744,ABRAZADERA TUBO 1‑1/4,5.50,,5.50,,5.50,un_solo_precio_distinto
7501206689868,ACEITE MULTIUSOS 30 ML,30.00,25.00,14.80,20.00,14.80,
7501206689875,ACEITE MULTIUSOS 90 ML,40.00,35.00,23.12,30.00,23.12,
7503003799627,ACIDO COIL CLENNER GAL. MOR,260.00,220.00,132.89,190.00,132.89,
2000,ACIDO COIL CLENNER MOR.BIDON 20LT,970.00,900.00,581.23,840.00,581.23,
630,ACIDO MURIATICO AMARILLO LTR,25.00,,,,25.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206657478,ADAPTADOR NARANJA DE 2 A 3 SIN TIERRA,40.00,30.00,,30.00,0.00,sin_decimal_para_cananea
7501199420035,AFLOJATODO LOCTITE 300G,150.00,0.00,,150.00,0.00,sin_decimal_para_cananea
7506240601913,ALAMBRE GALVANIZADO CAL. 18,80.04,,80.04,,80.04,un_solo_precio_distinto
716352497275,ANTOCHA TURBO TORCH TX504,2000.00,0.00,,2000.00,0.00,sin_decimal_para_cananea
037103574886,ASPERSORA MANUAL 1.5L GB,180.00,150.00,96.23,135.00,96.23,
037103575500,"ASPERSORA MANUAL DE 5L ""GB""",350.00,320.00,221.68,290.00,221.68,
fc108,ATOMIZADOR DE GATILLO 1LT,60.00,50.00,30.70,50.00,30.70,
2250,ATOMIZADOR SOLO 1LT,50.00,45.00,33.63,45.00,33.63,
7506240651994,ATOMIZADOR TRUPER 1L,60.00,50.00,,50.00,0.00,sin_decimal_para_cananea
7503026177396,BALERO 608 WMP,25.00,20.00,12.60,15.00,12.60,
sv1465‑b62002rs,BALERO 6200 2RS NTN,65.00,50.00,30.01,40.00,30.01,
739210356897,BALERO 6201 PARA MOTOR DE LAV WH PFI,30.00,20.86,20.86,30.00,20.86,
1247,BALERO 6201 WMP,45.00,40.00,20.54,30.00,20.54,
1201,BALERO 6305 LAVADORA FRONTAL LG,32.29,,32.29,,32.29,un_solo_precio_distinto
954,BALERO 6306 NTN LAVADORA FRONTAL,119.17,,119.17,,119.17,un_solo_precio_distinto
955,BALERO 6306 WMP LAVADORA FRONTAL,190.00,150.00,46.30,90.00,46.30,
809,BALERO ASER 6203 LAVADORA FRONTAL LG,30.00,22.01,22.01,22.01,0.00,
sv1465‑b6082rs,BALERO NTN 608,25.90,,25.90,,25.90,un_solo_precio_distinto
6202,BALERO NTN 6202,65.00,55.00,,55.00,0.00,sin_decimal_para_cananea
6203,BALERO NTN 6203,45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
739210356569,BALERO PFI 6006 SIRVE P/LAV,55.00,52.20,52.20,52.20,0.00,
739210356729,BALERO PFI 608,30.00,23.00,,23.00,0.00,sin_decimal_para_cananea
6203'2rs 1‑2[ c3,"BALERO PFI 6203 1/2""",40.00,30.00,,30.00,0.00,sin_decimal_para_cananea
7316570468236,BALERO SKF 608,50.00,0.00,,50.00,0.00,sin_decimal_para_cananea
2158,BANDA ASPIRADORA 562932001,400.00,,,,400.00,un_solo_precio_distinto;sin_decimal_para_cananea
7506610205628,BASCULA DIGITAL COLGANTE 50KG PRETUL,155.00,145.00,,145.00,130.00,sin_decimal_para_cananea
7506240665403,BASCULA ELECTRONICA PRETUL 40KG,1250.00,1100.00,,1100.00,0.00,sin_decimal_para_cananea
2220,BIDON DESENGRASANTE BLANCO 20 LT,1100.00,980.00,695.50,940.00,695.50,
2221,BOMBA DE AGUA GARRAFON ELECTRICA RECARGABLE,200.00,155.00,84.68,140.00,84.68,
7503026192573,BOMBA DISPENSADORA DE AGUA COLDTEK PARA REFRIGERADOR,1651.61,,1651.61,,1651.61,un_solo_precio_distinto
7506240667964,BOMBA PRESURIZADORA 1/6HP 1A TRUPER,1230.00,1090.00,761.31,940.00,761.31,
037103570949,BOQUILLA DE AUTOENCENDIDO CON PERILLA DE BRONCE TURNER,359.42,,359.42,,359.42,un_solo_precio_distinto
037103576026,"BOQUILLA DE DOBLE TUBO CON AUTOENCENDIDO DE ALTO RENDIMIENTO ""GB""",1100.00,,,,1100.00,un_solo_precio_distinto;sin_decimal_para_cananea
716352459761,BOQUILLA DE DOBLE TUBO DE ALTO RENDIMIENTO TURNER,438.49,,438.49,,438.49,un_solo_precio_distinto
037103572325,BOQUILLA DE TRIPLE TUBO DE ALTO RENDIMIENTO TURNER,1100.00,995.00,,890.00,645.00,sin_decimal_para_cananea
405,BOQUILLA ENCENDIDO ELEC. P/GAS,650.00,600.00,,600.00,0.00,sin_decimal_para_cananea
070042401004,BOQUILLA LATON P/GAS,400.00,340.00,,340.00,0.00,sin_decimal_para_cananea
7503050733360,BOQUILLA P/SOLDAR DOBLE COLDTEK,1000.00,890.00,534.71,770.00,534.71,
7503050733346,BOQUILLA P/SOLDAR SENCILLA  COLDTEK,630.00,560.00,336.17,480.00,336.17,
7503050733353,BOQUILLA P/SOLDAR SENCILLA CON AUTOENCENDIDO COLDTEK,680.00,590.00,,500.00,352.00,sin_decimal_para_cananea
7501206613894,"BROCA C/SIST INSER 7/16X6""",90.00,75.00,47.25,70.00,47.25,
7501206614037,BROCA CON SISTEMA DIRECTO DE INSRSION SDS 1/4X6,48.00,40.99,40.99,40.99,0.00,
7501206634479,BROCA CONCRETO TRUPER,17.40,0.00,17.40,17.40,0.00,
1606,"BROCA DE ALTA VELOCIDAD 1/2""",210.00,0.00,,210.00,0.00,sin_decimal_para_cananea
1608,"BROCA DE ALTA VELOCIDAD 1/8""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1609,"BROCA DE ALTA VELOCIDAD 11/64""",25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
1610,"BROCA DE ALTA VELOCIDAD 3/16""",25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
1611,"BROCA DE ALTA VELOCIDAD 3/32""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1612,BROCA DE ALTA VELOCIDAD 3/8,104.00,0.00,,104.00,0.00,sin_decimal_para_cananea
1613,"BROCA DE ALTA VELOCIDAD 5/16""",65.37,0.00,65.37,65.37,0.00,
1619,"BROCA DE ALTA VELOCIDAD 5/32""",20.00,0.00,,20.00,0.00,sin_decimal_para_cananea
1614,"BROCA DE ALTA VELOCIDAD 5/64""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1615,BROCA DE ALTA VELOCIDAD 7/16,165.00,0.00,,165.00,0.00,sin_decimal_para_cananea
1616,"BROCA DE ALTA VELOCIDAD 7/32""",35.00,0.00,,35.00,0.00,sin_decimal_para_cananea
1617,"BROCA DE ALTA VELOCIDAD 7/64""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1618,"BROCA DE ALTA VELOCIDAD 9/64""",18.00,0.00,,18.00,0.00,sin_decimal_para_cananea
1607,"BROCA DE ALTA VELODAD 1/4""",45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
7501206634486,BROCA PARA CONCRETO 1/4X6,25.00,20.00,,20.00,0.00,sin_decimal_para_cananea
1425,BROCA PARA CONCRETO 3/8X12,65.00,52.49,52.49,52.49,0.00,
7506240682066,BROCA SDS 3/8X24 TRUPER,170.00,123.00,,170.00,123.00,sin_decimal_para_cananea
7501206613924,"BROCA SDS 3X12"" TRUPER",110.00,90.00,57.75,85.00,57.75,
7501206675267,"BROCA‑SIERRA BIMETALICA 2""",210.00,160.00,,210.00,160.00,sin_decimal_para_cananea
7503005496265,"BROCHA  2 1/2""",20.00,,,,20.00,un_solo_precio_distinto;sin_decimal_para_cananea
2076,BUJE DE HIERRO DIAM 10MM,30.00,20.00,8.50,10.00,8.50,
2065,BUJE S/CEJA TRASERO MEDIDA BRONCE,45.00,35.00,17.33,25.00,17.33,
7502309730310,CABLES PARA MULTIMETRO TRUPER,47.26,,47.26,,47.26,un_solo_precio_distinto
1,CABLES PARA SOLDAR 10 MTS.,725.00,0.00,,725.00,0.00,sin_decimal_para_cananea
7506240646730,CAJA APILABLE MEDIANA TRUPER,35.00,,,,35.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206656181,"CAJA DE HERRAMIENTA AMPLIA 22""",245.00,0.00,,245.00,0.00,sin_decimal_para_cananea
7501206622834,"CAJA DE HERRAMIENTA REFORZADA 17""",250.00,238.00,,238.00,0.00,sin_decimal_para_cananea
