SKU,Nombre,Archivo_xlsx
"2271","CAPACITOR DE TRABAJO CUAD. 6MDF CON CABLES","ABANICOS.xlsx"
"1744","ABRAZADERA TUBO 1-1/4","ACCESORIOS.xlsx"
"SV1465-B62002RS","BALERO 6200 2RS NTN","ACCESORIOS.xlsx"
"SV1465-B6082RS","BALERO NTN 608","ACCESORIOS.xlsx"
"6203'2RS 1-2[ C3","BALERO PFI 6203 1/2""","ACCESORIOS.xlsx"
"7501206675267","BROCA-SIERRA BIMETALICA 2""","ACCESORIOS.xlsx"
"7501206696545","CAPUCHON P/CABLE 10-12 A","ACCESORIOS.xlsx"
"7501206696552","CAPUCHONES P/CABLE 12-14 N","ACCESORIOS.xlsx"
"833650307","CINTA AISLANTE E-8000","ACCESORIOS.xlsx"
"2130","CONECTOR RAPIDO 5/16 - 5/16","ACCESORIOS.xlsx"
"7501206652602","CONECTOR RAPIDO GRIFO-MANGUERA","ACCESORIOS.xlsx"
"2129","CONECTOR REDUCCION 1/4 - 5/16 RECTO","ACCESORIOS.xlsx"
"7.5062406806E+12","DESARMADOR CRUZ 1/4 X 12"" PRETUL","ACCESORIOS.xlsx"
"2242","DOBLADOR DE TUBOS 180° 3/16-3/8 GB","ACCESORIOS.xlsx"
"2184","FUSIBLE 1A, 220V","ACCESORIOS.xlsx"
"7501390533015","GRASA PREMIUM MULTIPROPOSITO DUXCA-4 ROSHFRANS","ACCESORIOS.xlsx"
"2135","KIT FILTROS OSMOSIS PURIKOR 6 ETAPAS 1 AÑO","ACCESORIOS.xlsx"
"7501206654736","MALETA 18"" PORTAHERRAMIENTA TRUPER","ACCESORIOS.xlsx"
"XAMR16241","MULTIMETRO DIGITAL PROFESIONAL NT DT9205A AC-DC","ACCESORIOS.xlsx"
"7501310011067","PEGAMENTO EPOXICO X-TREME TOP","ACCESORIOS.xlsx"
"7503053083295","PROTECTOR CORTA VOLTAJE 3MIN. 220V COLDTEK","ACCESORIOS.xlsx"
"1499","SOLDADURA DE ESTAÑO 1 M ELECTRONICA","ACCESORIOS.xlsx"
"7506240650607","SOLDADURA ESTAÑO TRUPER BAJA PRESION","ACCESORIOS.xlsx"
"037103576040","TERMOMETRO DIGITAL HIGROMETRO-ALARMA GB","ACCESORIOS.xlsx"
"2437","TORNILLO PUNTA DE BROCA 1-1/2"" SUELTO","ACCESORIOS.xlsx"
"2436","TORNILLO PUNTA DE BROCA 1-1/4"" SUELTO","ACCESORIOS.xlsx"
"2302","VALVULA ESFERA ROSCABLE AZUL DE 1/2""","ACCESORIOS.xlsx"
"79567520115","WD-40 382 ML","ACCESORIOS.xlsx"
"1860","BISAGRA PARA CUARTO FRIO CON MECANISMO AJUSTABLE A PAÑO 250MMX138MM MOD YL-1460","AIRE ACONDICIONADO.xlsx"
"2799","BOMBA DE CONDENSADO 220V ASURITY 22´","AIRE ACONDICIONADO.xlsx"
"2798","BOMBA DE CONDENSADO EXTERIOR 120V 22´ ASURITY","AIRE ACONDICIONADO.xlsx"
"303","BOMBA P/COOLER MODELO B-70","AIRE ACONDICIONADO.xlsx"
"302","BOMBA P/COOLER MODELO B-72","AIRE ACONDICIONADO.xlsx"
"258","CABLE SEÑAL 3X14AWG 4 MTS.","AIRE ACONDICIONADO.xlsx"
"246","CABLE SEÑAL 4MTS. 4X14AWG","AIRE ACONDICIONADO.xlsx"
"DAR400","CAPACITOR DE ARR. 108-130 MDF 110V","AIRE ACONDICIONADO.xlsx"
"951","CAPACITOR DE ARR. 189-227MDF. 110V","AIRE ACONDICIONADO.xlsx"
"1495","CAPACITOR DE ARRANQUE 145-175 UF A 110 VAC","AIRE ACONDICIONADO.xlsx"
"2274","CAPACITOR DE ARRANQUE 161-193 UF 110V","AIRE ACONDICIONADO.xlsx"
"950","CAPACITOR DE ARRANQUE 243-292UF 125V","AIRE ACONDICIONADO.xlsx"
"7503026178850","CONTACTOR 2 POLOS 40-50A 24V","AIRE ACONDICIONADO.xlsx"
"2","CORTA TUBO 4-28MM","AIRE ACONDICIONADO.xlsx"
"7503037201660","CUBIERTA TRANSPARENTE PARA MINI-SPLIT 130CM COLDTEK","AIRE ACONDICIONADO.xlsx"
"7503037201677","CUBIERTA TRANSPARENTE PARA MINI-SPLIT 180CM COLDTEK","AIRE ACONDICIONADO.xlsx"
"1916","EXPANSOR DE TUBO 1/4-3/4"" ALTA CALIDAD","AIRE ACONDICIONADO.xlsx"
"7503026414583","GUARDA TERMOSTATO M BTG-RK","AIRE ACONDICIONADO.xlsx"
"7503026414590","GUARDA TERMOSTATO MODELO BTG-K","AIRE ACONDICIONADO.xlsx"
"2202","JUEGO FLARE EN CAJA WK-806AM-L","AIRE ACONDICIONADO.xlsx"
"7503028596041","KIT DE INSTALACION ALUMINIO 1/4-1/2","AIRE ACONDICIONADO.xlsx"
"183","KIT INSTALACION ALUMINIO 1/4-3/8","AIRE ACONDICIONADO.xlsx"
"234","KIT INSTALACION MS 1/4-5/8 COBRE","AIRE ACONDICIONADO.xlsx"
"291","KIT INSTALACION P/MS 1/4-5/8 ALUM","AIRE ACONDICIONADO.xlsx"
"292","KIT INSTALACION PARA MINISPLIT 3/8-5/8","AIRE ACONDICIONADO.xlsx"
"06259817495880","PROTECTOR DE VOLTAJE MINISPLIT 220V-20A 35000BTU","AIRE ACONDICIONADO.xlsx"
"192","RELAY P/TARJETA MS SFK-11DM","AIRE ACONDICIONADO.xlsx"
"57","RETARDADOR DE TIEMPO 2S-10M.","AIRE ACONDICIONADO.xlsx"
"APCB-213DA","TARJETA UNIV. PARA MINISPLIT APPLI PARTS APCB-213DA","AIRE ACONDICIONADO.xlsx"
"7503026196878","TERMOSTATO PARA AIRE DE VENTANA 3 PINES 14-16.8","AIRE ACONDICIONADO.xlsx"
"WG03F05627","TURBINA MINISPLIT MABE WG03F05627","AIRE ACONDICIONADO.xlsx"
"687472053910","VALVULA DE EXPANSION 7/8-1 1/8 R22","AIRE ACONDICIONADO.xlsx"
"1185","DIAFRAGMA BOILER DE PASO 12-13L UNIV.","BOILER.xlsx"
"1150","DIAFRAGMA BOILER DE PASO 5-6 LITROS","BOILER.xlsx"
"7506240658979","MANGUERA PARA BOILER 1/2"" 40CM","BOILER.xlsx"
"662013641108","PILOTO TIPO T, 3 VIAS, 6CH24-6, 1830-490 ROBERTSHAW","BOILER.xlsx"
"2216","REGULADOR DE GAS SENCILLO CON POOL R-3001-AS0","BOILER.xlsx"
"2215","REGULADOR DE GAS SENCILLO R-5000","BOILER.xlsx"
"1951-01","TERMOPILA 1951-01 C/ CONECTOR COAXIAL ROBERTSHAW","BOILER.xlsx"
"662013630997","VALVULA MILIVOLT 24VAC 700-056 ROBERTSHAW","BOILER.xlsx"
